web-scraper-order,web-scraper-start-url,time,teamB,date,teamA,gymnasium
"1537297423-85","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","SAINT-RENAN IROISE VOLLEY","27/01/19","xxxxx",""
"1537297423-129","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","RUEIL ATHLETIC CLUB","24/03/19","SAINT-CLOUD PARIS SF","GYMNASE VERHAEREN"
"1537297423-24","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","21:00","VOLLEY BALL CLUB MALOUIN","20/10/18","AS CESSON ST-BRIEUC 2","GYMNASE DE BEAUFEUILLAGE"
"1537297423-14","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-12","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","20:30","KLOAR-AVEN VB 29","29/09/18","ASB REZE VOLLEY 3","GYMNASE LIBERGE"
"1537297423-123","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","SAINT-CLOUD PARIS SF","17/03/19","SAINT-RENAN IROISE VOLLEY","SALLE GUYADER"
"1537297423-61","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","CHAVILLE-SEVRES VOLLEY-BALL","02/12/18","SAINT-CLOUD PARIS SF","GYMNASE VERHAEREN"
"1537297423-58","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","AS CESSON ST-BRIEUC 2","02/12/18","C.P.B. RENNES 35","GYMNASE CDT BOUGOUIN"
"1537297423-52","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","18:00","SAINT-CLOUD PARIS SF","24/11/18","RUEIL ATHLETIC CLUB","MICHEL RICARD"
"1537297423-108","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","SAINT-CLOUD PARIS SF","24/02/19","VANNES VOLLEY 56","SALLE OMNISPORTS DE KERCADO"
"1537297423-150","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","C.P.B. RENNES 35","28/04/19","RUEIL ATHLETIC CLUB","MICHEL RICARD"
"1537297423-40","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","13:00","RENNES ETUDIANTS CLUB 3","04/11/18","VANNES VOLLEY 56","SALLE OMNISPORTS DE KERCADO"
"1537297423-65","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","SAINT-CLOUD PARIS SF","16/12/18","VOLLEY BALL CLUB MALOUIN","MARVILLE"
"1537297423-5","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","VANNES VOLLEY 56","23/09/18","RUEIL ATHLETIC CLUB","MICHEL RICARD"
"1537297423-147","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-137","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","20:00","RENNES ETUDIANTS CLUB 3","06/04/19","RUEIL ATHLETIC CLUB","MICHEL RICARD"
"1537297423-149","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","VANNES VOLLEY 56","28/04/19","SAINT-RENAN IROISE VOLLEY","SALLE GUYADER"
"1537297423-6","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","AS CESSON ST-BRIEUC 2","23/09/18","SAINT-RENAN IROISE VOLLEY","SALLE GUYADER"
"1537297423-57","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","VANNES VOLLEY 56","02/12/18","xxxxx",""
"1537297423-94","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","KLOAR-AVEN VB 29","03/02/19","C.P.B. RENNES 35","GYMNASE CDT BOUGOUIN"
"1537297423-44","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","13:30","VANNES VOLLEY 56","18/11/18","ASB REZE VOLLEY 3","GYMNASE LIBERGE"
"1537297423-153","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","SAINT-CLOUD PARIS SF","28/04/19","KLOAR-AVEN VB 29","SALLE DES SPORTS"
"1537297423-100","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","SAINT-RENAN IROISE VOLLEY","17/02/19","CHAVILLE-SEVRES VOLLEY-BALL","CENT GARDES"
"1537297423-20","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","SAINT-RENAN IROISE VOLLEY","07/10/18","RUEIL ATHLETIC CLUB","MICHEL RICARD"
"1537297423-69","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","VANNES VOLLEY 56","16/12/18","AS CESSON ST-BRIEUC 2","GYMNASE DE BEAUFEUILLAGE"
"1537297423-152","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","19:00","RENNES ETUDIANTS CLUB 3","27/04/19","VOLLEY BALL CLUB MALOUIN","MARVILLE"
"1537297423-64","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","xxxxx","16/12/18","KLOAR-AVEN VB 29",""
"1537297423-66","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","RENNES ETUDIANTS CLUB 3","16/12/18","CHAVILLE-SEVRES VOLLEY-BALL","CENT GARDES"
"1537297423-36","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","xxxxx","04/11/18","CHAVILLE-SEVRES VOLLEY-BALL",""
"1537297423-93","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","SAINT-CLOUD PARIS SF","03/02/19","ASB REZE VOLLEY 3","GYMNASE LIBERGE"
"1537297423-114","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","20:00","RUEIL ATHLETIC CLUB","02/03/19","VOLLEY BALL CLUB MALOUIN","MARVILLE"
"1537297423-89","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","ASB REZE VOLLEY 3","27/01/19","KLOAR-AVEN VB 29","SALLE DES SPORTS"
"1537297423-73","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","RUEIL ATHLETIC CLUB","13/01/19","C.P.B. RENNES 35","GYMNASE CDT BOUGOUIN"
"1537297423-97","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","RUEIL ATHLETIC CLUB","03/02/19","SAINT-RENAN IROISE VOLLEY","SALLE GUYADER"
"1537297423-50","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","xxxxx","25/11/18","VOLLEY BALL CLUB MALOUIN",""
"1537297423-113","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","CHAVILLE-SEVRES VOLLEY-BALL","03/03/19","xxxxx",""
"1537297423-81","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","16:00","CHAVILLE-SEVRES VOLLEY-BALL","20/01/19","C.P.B. RENNES 35","GYMNASE CDT BOUGOUIN"
"1537297423-77","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-88","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","19:00","C.P.B. RENNES 35","26/01/19","VOLLEY BALL CLUB MALOUIN","MARVILLE"
"1537297423-71","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","AS CESSON ST-BRIEUC 2","13/01/19","xxxxx",""
"1537297423-23","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","CHAVILLE-SEVRES VOLLEY-BALL","21/10/18","SAINT-RENAN IROISE VOLLEY","SALLE GUYADER"
"1537297423-37","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","VOLLEY BALL CLUB MALOUIN","04/11/18","RUEIL ATHLETIC CLUB","MICHEL RICARD"
"1537297423-141","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","KLOAR-AVEN VB 29","14/04/19","xxxxx",""
"1537297423-136","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","ASB REZE VOLLEY 3","07/04/19","SAINT-RENAN IROISE VOLLEY","SALLE GUYADER"
"1537297423-22","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","xxxxx","21/10/18","RUEIL ATHLETIC CLUB",""
"1537297423-99","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","RUEIL ATHLETIC CLUB","17/02/19","xxxxx",""
"1537297423-83","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","SAINT-RENAN IROISE VOLLEY","20/01/19","AS CESSON ST-BRIEUC 2","GYMNASE DE BEAUFEUILLAGE"
"1537297423-112","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-154","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","null","null","null","null","null"
"1537297423-116","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","14:00","AS CESSON ST-BRIEUC 2","03/03/19","SAINT-CLOUD PARIS SF","GYMNASE VERHAEREN"
"1537297423-67","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","20:00","ASB REZE VOLLEY 3","15/12/18","RUEIL ATHLETIC CLUB","MICHEL RICARD"
"1537297423-48","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","19:00","CHAVILLE-SEVRES VOLLEY-BALL","17/11/18","VOLLEY BALL CLUB MALOUIN","MARVILLE"
"1537297423-29","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","ASB REZE VOLLEY 3","28/10/18","xxxxx",""
"1537297423-25","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","VANNES VOLLEY 56","21/10/18","KLOAR-AVEN VB 29","SALLE DES SPORTS"
"1537297423-139","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","19:00","KLOAR-AVEN VB 29","06/04/19","VOLLEY BALL CLUB MALOUIN","MARVILLE"
"1537297423-2","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","RENNES ETUDIANTS CLUB 3","23/09/18","KLOAR-AVEN VB 29","SALLE DES SPORTS"
"1537297423-148","http://www.ffvbbeach.org/ffvbapp/resu/vbspo_calendrier.php?saison=2018%2F2019&codent=ABCCS&poule=3MF&division=&tour=&calend=COMPLET&x=10&y=8","15:00","xxxxx","28/04/19","AS CESSON ST-BRIEUC 2",""
